daño,Predicción
se fue el servicio de energia electrica desde el sabado y hay variacion de voltaje en el contador y casa,cancelar
sera que pueden venir revisar,cancelar
demasiado elevada la factura,ejecutar
no hay luz en toda la casa,cancelar
el poste prende intermitente pero es mas el tiempo que dura apagado que prendido,ejecutar
lo que acabo de explicar,ejecutar
dano del medidor,cancelar
energia intermitente,cancelar
pague la factura de la luz por 127000 y volvio y me llego por lo mismo,ejecutar
dana de contador,ejecutar
no sirve la lampara de alumbrado publico,cancelar
no tengo energia,cancelar
ya cancele la factura anterior y hoy me llego la nueva factura de 4 meses,ejecutar
en estos dias ha venido presentandose tormentosas lluvias las cuales han desprendido las cuerdas de los postes y una de esta,cancelar
sin servicio callejon pavas por las comidas rapidas,ejecutar
internet intermitente y sin conexion estable,cancelar
tengo un negocio hace dos dias no lo he podido abrir  ayer fueron los de celsia quitaron la energia,ejecutar
la luz esta inestable,cancelar
los cables estan demaciado bajos,ejecutar
hay intermitencia,cancelar
y se requieren que hagan urgente la recoleccion,ejecutar
alto voltaje,cancelar
callo un rayo y quemo el medidor,cancelar
puede causar accidente,cancelar
caida del cable del punto del contador,cancelar
se presenta una lectura alta de  consumo y se tiene apagado todo,ejecutar
los electrogenos presentan fallas y se apagan los bombillos,ejecutar
ninguna es cambio de carga,cancelar
cuerda en dano le llaman la cometida,ejecutar
baja de energia las lamparas prenden y apagan y los electrodomesticos si se enciende uno el otro se apaga,ejecutar
no hay energia en la casa,cancelar
reclamo por el alto cobro en la factura,ejecutar
bajo voltaje,cancelar
corto en los cables del poste de la carrera 23a con 43 esquina,cancelar
se visualiza y se escucha corto ,ejecutar
se presentan variaciones de voltaje en tomas internos,ejecutar
cable reventado,cancelar
un camion paso y rompio la cuerda de la energia la dejo colgada sobre la calle,ejecutar
cayo un rayo y la linea  esta en el piso,ejecutar
bajon de luz desde el viernes y el sabado se fue de una vez,cancelar
se va la energia en cada instante,ejecutar
la cuerda que viene al contador se safo del poste,cancelar
acometida posiblemente desajustada,cancelar
falla en lampara del alumbrado publico,cancelar
la energia esta deficiente en la casa,cancelar
alpine de mi casa habia un poste el cual desde el ano pasado se cayo  y a hora hay una distancia de casi 80 metros de poste a poste cosa que se solicita que repongan el poste que se cayo y hay otro a punto de caerse,ejecutar
poste que ya lleva 15 dias sin apagar,ejecutar
internet,cancelar
hurto de acometida,cancelar
danos en el cable,ejecutar
sin luz  en el poste diagonal a mi casa,ejecutar
se exploto el contador del local,ejecutar
aumento sin razon de la factura de energia,cancelar
no hay alumbrado publico hace un par de semanas,cancelar
estoy sin proteccion de polo a tierra,ejecutar
poste de energia,ejecutar
un carro arranco los cables de la energia,cancelar
hay dos lamparas que no prenden,cancelar
sector con variacion de voltaje,ejecutar
variacion de voltaje,cancelar
variacion de voltaje,cancelar
la bombilla de un poste de alumbrado publico esta danada hace semanas,cancelar
bajon de luz a cada rato,ejecutar
desde la manana habemos 7 locales comerciales sin servicio y nosotros manejamos biologicos vacunas y necesitamos nevera,cancelar
bajones de energia,ejecutar
una buseta revento el cable de la luz,cancelar
sin energia,cancelar
sin servicio de luz,ejecutar
sin servicio de luz,ejecutar
empty,ejecutar
la luminaria de la calle no funciona desde el lunes,cancelar
yo baje mis tacos,cancelar
varias casas afectadas,cancelar
solicitamos visita tecnica porqu no tenemos claro el porque se ha incrementado el valor de la factura mes a mes,ejecutar
no pasa energia desde la principal porque se pasaron unos gallinazos,ejecutar
bajon de energia,ejecutar
a mano izquierda se cayo un arbol sobre el cableado,ejecutar
cable danado por volqueta,ejecutar
un cable suelto y esta echando chispas,ejecutar
el contador genera una consumo superior al kw,ejecutar
1 huella a mano derecha subiendo,ejecutar
un camion revento el cable del internet celsia,cancelar
no hay luz  porque el cable se quemo,cancelar
reventaron una cuerda del contador,ejecutar
no hay energia,ejecutar
desprendimiento cable del poste por borrasca,ejecutar
sin electricidad,ejecutar
quiero reportar predio desocupado,ejecutar
datos del medidor,cancelar
no hay alumbrado publico hace un par de semanas,cancelar
sin luz en el hogar,cancelar
bajo voltaje,cancelar
el tubo del cable se partio,ejecutar
no tengo energia,cancelar
carro revienta cuerda y el transformador esta haciendo corto y el predio esta sin energia,ejecutar
se robaron los cables del contador,cancelar
paso un carro y se yebo el cable del internet q manejamos con ustedes,cancelar
problema en el contador,ejecutar
medidor sin pantalla,cancelar
lampara ubicada en el poste de la calle se prende y se apaga,cancelar
cable esta caido,cancelar
un vehiculo dano una cuerda que va al contador,cancelar
algunos tomas funcionan otros no segundo piso sin energia,ejecutar
se fue la energia en todo el sector  yo trabajo con energia y llego en todos lados menos en el local,ejecutar
sector sin energia hace 4 dias,cancelar
la energia en muy poca ya no sostiene las bombillas ni electrodomesticos,ejecutar
corto,ejecutar
la linea de energia que conecta del poste a la casa,ejecutar
los postes que tienen las,ejecutar
robo candado de la caja del transformador y robo de tubos,ejecutar
uno de mis apartamentos esta desocupado desde octubre del ano pasado y me llega una factura de 160,ejecutar
no tengo servicio de energia,ejecutar
sin servicio de energia en todo el sector,ejecutar
no hay energia,ejecutar
cuerda descolgada,ejecutar
energia intermitente,cancelar
lamparas de postes malas,cancelar
cuerdas  caidas,cancelar
falla en el alumbrado,cancelar
no hay energia local,ejecutar
no tengo luz en mi casa,ejecutar
la energia no es estable,ejecutar
casas sin energia,ejecutar
el voltaje es muy bajito,ejecutar
sin alumbrado publico hace dos semanas,cancelar
poste sin energia,ejecutar
esta baja la luz conecto nevera y se ba,ejecutar
los electrodomesticos presentan bajones de luz,ejecutar
los bombillos estan titilando intermitente,ejecutar
los bombillos parpadean cuando se encienden,ejecutar
consumo de excesivamente ilogico,cancelar
se prende y apaga mucho la lampara del poste en esta direccion sobre la calle 26 b2,cancelar
el contador al parecer esta fallando,ejecutar
no puedo conectar un electrodomestico por que hace interferencia en las luces o no hace buen uso como deberia ser,ejecutar
un vehiculo paso por la calle y revento el cable y solo mi casa esta sin energia y tengo una adulta mayor postrada en camanecesito la energia urgente todo el dia he estado sin energia y nada que vienen a arreglarme el dnao,cancelar
variacion de voltaje,cancelar
varios postes sin luz y muchos drogadictos aprovechan la oscuridad para fumar bajo los arboles,cancelar
sin servicio de energia,cancelar
se quemo el contador,cancelar
se cayo un arbol y revento la acometida electrica de la casa,cancelar
cuerda en dano le llaman la cometida,ejecutar
sector sin servicio,cancelar
no pasa energia desde la principal porque se pasaron unos gallinazos,ejecutar
las farolas no funcionan,cancelar
la energia va y viene en repetidas ocasiones,ejecutar
se me estan danando los equipos,cancelar
la cuerda del contador reventada,ejecutar
al conectar los electrodomesticos se va la energia y al desconectar los vuelve,ejecutar
de la principal del poste esta echando chispas y nos quedamos sin energia,ejecutar
no tengo servicio de internet,cancelar
se va constantemente  la energia solo en mi casa,ejecutar
se fue la luz,ejecutar
variacion en el voltaje,ejecutar
requiero dar de baja a 3 contadores y revision de la acometida o la caja donde se encuentran los cables,cancelar
cuerda reventada,ejecutar
mi reporte 354414276 dicen que le corresponde a los de la acometida,cancelar
falla en el contador,ejecutar
contador caido y sin tapa,cancelar
llevo una hora en mi hogar sin energia y aca tengo un local,ejecutar
no hay voltaje suficiente,ejecutar
la acometida esta descolgada,cancelar
poste sin energia,ejecutar
el contador marca rapidamente diferentes cifras y el recibo me llego demasiado alto,ejecutar
carro revienta cuerda y el transformador esta haciendo corto y el predio esta sin energia,ejecutar
varia mucho la luz,ejecutar
me estan reportando danos en contador,ejecutar
la linea de ebergia esta en la mitad de la pared de la casa y esta  obstruyendo el paso,cancelar
la cuerda que viene al contador se safo del poste,cancelar
empty,ejecutar
se revento el cable de alta tension y esta en el suelo,ejecutar
es el poste de mitad de cuadra,ejecutar
sector con fluctuacion de voltaje chispea cuando venta,ejecutar
sin energia en toda la calle 33 a con 15,ejecutar
un apagon y las tomas y algunos bombillos sin energia,ejecutar
cable de entrada se quemo por un dano de un vecino que se le quemo los cables afectando el mio,cancelar
tolima,ejecutar
corte de luz en 1 solo predio,ejecutar
fallo en internet,cancelar
hay dos postes sin energia del alumbrado publico,cancelar
se subio el valor del recibo,ejecutar
sin servicio,cancelar
solicito q vengan el sector a para rebicion del medidor de mi casa,cancelar
en el techo de mi casa hay 3 cables caidos de los contadores de mis vecinos,cancelar
variacion de voltaje,cancelar
es que deseo saber sobre el cobro de alumbrado publico,cancelar
los electrogenos presentan fallas y se apagan los bombillos,ejecutar
sin servicio de energia,cancelar
empty,ejecutar
el poste de la calle ha presentando fallas durante dos dias,ejecutar
vereda berlin,cancelar
el transformador esta echando candela y quemo una rama de un arbol,ejecutar
me llego casi el doble de cobro en el servicio,ejecutar
incendio en el contador de energia dano por el mismo,ejecutar
energia inestable,cancelar
un carro revento la cuerda de la energia y esa cuerda esta en el piso y tiene energia,cancelar
no hay senal de internet,cancelar
la casa se queda sin energia luego vuelve es variable,ejecutar
un motor se prende y se apaga con frecuencia se puede quemar,ejecutar
linea reventada,ejecutar
no hay luz,cancelar
acometida del sector a,cancelar
me han llegado dos facturas cobrandome y la casa no esta habitada esta como la entrego la constructora,ejecutar
el contador no esta corriendo,ejecutar
no se la verdad,ejecutar
estoy sin proteccion de polo a tierra,ejecutar
linea reventada,ejecutar
no hay luz en el poste,ejecutar
sin energia sin corriente,cancelar
llega hasta el medidor y de ahi para la no hay energia,cancelar
no hay luz,cancelar
sin energia en el parque de margaritas 2 ya va para 2 semanas y pues en la noche entrenan un equipo de futbol y pues como no hay energia en el parque no han podido entrenar bien,ejecutar
en mi casa la energia es 220 y esta en 110,ejecutar
cuando un poste titila la luz,cancelar
cable reventado,cancelar
ha variacion en el voltaje,ejecutar
sin luz,cancelar
reporte de danos,cancelar
amaneci sin internet es que en la madrugada paso un camion grande y se llevo casi todo el cable del internet quedo tirado en la calle,cancelar
bajones de energia,ejecutar
sin energia,cancelar
lampara ubicada en el poste de la calle se prende y se apaga,cancelar
sin energia,cancelar
empezamos con bajones de luz hace como 10 dias el cual nos ha danado la nevera la olla arrocera y el televisor y ayer nos quedamos sin ya energia  ya mandaron a una persona el domingo y ni hicieron nada por ellos no eran de caja sino de transformadores y quedaron de madar a alguien y nada,ejecutar
variacion de voltaje en la casa,cancelar
sin servicio de internet y linea reventada frente a la casa,cancelar
no hay alumbrado publico hace un par de semanas,cancelar
un carro lo tumbo y es un cable de alta tension,ejecutar
no tengo internet,cancelar
linea del poste reventada,ejecutar
dano de energia de mi casa,ejecutar
linea reventada,ejecutar
en el poste se escucha un ruido y apago bombilla y sigue alumbrando a media luz y los enchufes se calientan al conectarse,ejecutar
necesito una revision,ejecutar
no hay luz,cancelar
cayo un arbol y revento la linea que llega al contador de mi predio,ejecutar
la lampara de alumbrado publico no sirve hace 8dias,cancelar
empty,ejecutar
se descogo la linea que va del poste a la casa y deproto un vehiculo la revienta por que esta muy bajita,cancelar
la energia esta entrando a 120 y me ha quemado 3 planchas,ejecutar
